time_elapsed,explained_variance,clip_range,value_loss,entropy,fps,total_timesteps,iterations,std,ep_reward_mean,policy_loss
417538.0,0.9603007584810256,0.1,14.014777,0.8002142,59.0,24739840.0,1510.0,0.5433723,0.3989120003915743,-0.0035095848
417782.0,0.9740771763026714,0.1,18.638433,0.80058956,59.0,24756224.0,1511.0,0.54361856,0.3960565887980268,0.0009372048
418061.0,0.9743386562913656,0.1,12.581049,0.8047943,59.0,24772608.0,1512.0,0.5461161,0.3973807257184417,-0.0042701466
418343.0,0.9620825052261353,0.1,6.6448245,0.806506,59.0,24788992.0,1513.0,0.5471154,0.3958672341696951,0.00013128389
418635.0,0.9637912586331367,0.1,19.472908,0.8080195,59.0,24805376.0,1514.0,0.5480498,0.4001323387338751,0.00206385
418945.0,0.967747513204813,0.1,32.159885,0.8046486,59.0,24821760.0,1515.0,0.5462935,0.3986696940111431,0.009786852
419240.0,0.9597303457558156,0.1,26.123928,0.8058468,59.0,24838144.0,1516.0,0.5469924,0.3972976384517101,-0.0020408137
419536.0,0.9666753672063352,0.1,19.295223,0.804088,59.0,24854528.0,1517.0,0.54594225,0.3995682594842874,0.0010770764
419793.0,0.9602984935045242,0.1,14.956955,0.8027102,59.0,24870912.0,1518.0,0.5451659,0.4002007253680532,-0.00030895788
420096.0,0.9679783321917056,0.1,12.047355,0.80440253,59.0,24887296.0,1519.0,0.54627675,0.3978192015214491,-0.0063526854
420380.0,0.970369579270482,0.1,13.849629,0.8069509,59.0,24903680.0,1520.0,0.54749453,0.3952518118687366,-0.0033784732
420647.0,0.9720653668045998,0.1,21.009396,0.81069505,59.0,24920064.0,1521.0,0.54946214,0.3966906405777459,-0.000776018
420932.0,0.963739227503538,0.1,29.9853,0.8092831,59.0,24936448.0,1522.0,0.5485821,0.3992479323673367,0.007280318
421197.0,0.9637795127928256,0.1,7.8798122,0.81141376,59.0,24952832.0,1523.0,0.5497979,0.399317197799215,-0.0007824837
421484.0,0.9634298980236052,0.1,7.411665,0.81351584,59.0,24969216.0,1524.0,0.55111694,0.396169205402172,-0.0028272746
421780.0,0.9686009362339972,0.1,28.34428,0.8145393,59.0,24985600.0,1525.0,0.5516511,0.4006036491703104,0.010872647
422033.0,0.965700689703226,0.1,17.793123,0.8141859,59.0,25001984.0,1526.0,0.5514396,0.4007799641312954,0.0047217235
422353.0,0.9655412137508392,0.1,17.126839,0.8151585,59.0,25018368.0,1527.0,0.5518452,0.4017242996519451,0.00159732
422629.0,0.9681587070226668,0.1,9.415848,0.81535417,59.0,25034752.0,1528.0,0.55209345,0.3983186373569623,0.005348562
422870.0,0.9677655771374702,0.1,6.763544,0.81281424,59.0,25051136.0,1529.0,0.55069685,0.3964959019275461,0.00069475267
423138.0,0.9684405513107776,0.1,16.602095,0.813557,59.0,25067520.0,1530.0,0.55118215,0.3947871376082922,-0.0016065817
423395.0,0.9683576300740242,0.1,12.091616,0.817663,59.0,25083904.0,1531.0,0.5535003,0.3939043956958882,0.0054728524
423648.0,0.9733288437128068,0.1,19.357098,0.8170907,59.0,25100288.0,1532.0,0.553139,0.3873091985107818,0.0005386304
